2025-05-26 14:22:19.876 | WARNING  | chatchat.server.utils:detect_xf_models:104 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2025-05-26 14:22:19.876 | WARNING  | chatchat.server.utils:get_default_llm:205 - default llm model glm4-chat is not found in available llms, using qwen:7b instead
2025-05-26 14:22:19.892 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 14:22:19.894 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 14:22:19.897 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 14:22:19.899 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 14:22:19.905 | SUCCESS  | chatchat.cli:init:47 - 开始初始化项目数据目录：/root/autodl-tmp/langchain/Langchain-Chatchat
2025-05-26 14:22:19.960 | SUCCESS  | chatchat.cli:init:49 - 创建所有数据目录：成功。
2025-05-26 14:22:19.963 | SUCCESS  | chatchat.cli:init:52 - 复制 samples 知识库文件：成功。
2025-05-26 14:22:19.991 | SUCCESS  | chatchat.cli:init:54 - 初始化知识库数据库：成功。
2025-05-26 14:22:21.490 | SUCCESS  | chatchat.cli:init:66 - 生成默认配置文件：成功。
2025-05-26 14:22:21.490 | SUCCESS  | chatchat.cli:init:67 - 请先检查确认 model_settings.yaml 里模型平台、LLM模型和Embed模型信息已经正确
2025-05-26 14:22:21.490 | SUCCESS  | chatchat.cli:init:76 - 执行 chatchat kb -r 初始化知识库，然后 chatchat start -a 启动服务。
2025-05-26 14:35:28.086 | WARNING  | chatchat.server.utils:detect_xf_models:104 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2025-05-26 14:35:28.087 | WARNING  | chatchat.server.utils:get_default_llm:205 - default llm model qwen1.5-chat is not found in available llms, using qwen:7b instead
2025-05-26 14:35:28.184 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 14:35:28.264 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 14:35:28.292 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 14:35:28.373 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 14:35:29.367 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 14:35:29.367 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 14:35:29.368 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 14:35:29.368 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 14:35:29.409 | INFO     | chatchat.server.knowledge_base.kb_cache.faiss_cache:load_vector_store:109 - loading vector store in 'samples/vector_store/quentinz/bge-large-zh-v1.5' from disk.
2025-05-26 14:35:29.500 | ERROR    | chatchat.server.knowledge_base.kb_cache.faiss_cache:load_vector_store:140 - Error raised by inference endpoint: HTTPConnectionPool(host='127.0.0.1', port=11434): Max retries exceeded with url: /api/embeddings (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f3db9acd7b0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-05-26 14:35:29.500 | ERROR    | chatchat.init_database:worker:61 - 向量库 samples 加载失败。
2025-05-26 14:50:19.378 | WARNING  | chatchat.server.utils:detect_xf_models:104 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2025-05-26 14:50:19.378 | WARNING  | chatchat.server.utils:get_default_llm:205 - default llm model qwen1.5-chat is not found in available llms, using qwen:7b instead
2025-05-26 14:50:19.492 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 14:50:19.576 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 14:50:19.603 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 14:50:19.682 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 14:50:20.766 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 14:50:20.767 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 14:50:20.767 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 14:50:20.768 | WARNING  | chatchat.server.utils:get_default_embedding:214 - default embedding model bge-large-zh-v1.5 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2025-05-26 14:50:20.801 | INFO     | chatchat.server.knowledge_base.kb_cache.faiss_cache:load_vector_store:109 - loading vector store in 'samples/vector_store/quentinz/bge-large-zh-v1.5' from disk.
2025-05-26 14:50:20.892 | ERROR    | chatchat.server.knowledge_base.kb_cache.faiss_cache:load_vector_store:140 - Error raised by inference endpoint: HTTPConnectionPool(host='127.0.0.1', port=11434): Max retries exceeded with url: /api/embeddings (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fcc1aaaec80>: Failed to establish a new connection: [Errno 111] Connection refused'))
